Offense_Number,Person_ID,Role_Code
6914,228,Arrest
688,4511,Arrest
3836,797,Arrest
3610,785,Witness
6637,581,Arrest
3376,1314,Witness
7460,4484,Witness
3233,4910,Arrest
5463,3365,Suspect
7600,864,Arrest
7595,2373,Suspect
4063,768,Suspect
4146,2571,Suspect
3838,4791,Suspect
192,1815,Victim
2402,3678,Victim
786,3427,Other
1114,4373,Victim
2104,641,Other
5250,4834,Suspect
103,270,Other
6394,1891,Other
44,2286,Witness
1259,4267,Arrest
7708,609,Victim
2691,4582,Suspect
2295,4147,Arrest
1020,1958,Witness
7365,591,Witness
1439,4159,Victim
5937,2645,Witness
367,2328,Suspect
244,3,Witness
4992,3124,Other
958,679,Arrest
7466,2665,Arrest
6657,3261,Victim
5736,2599,Victim
774,1385,Witness
7827,1572,Witness
3157,1745,Victim
1613,2932,Other
4491,1125,Victim
4056,1961,Witness
5775,4341,Suspect
7218,3329,Victim
7340,795,Arrest
3625,1904,Arrest
6349,956,Witness
7368,1481,Arrest
7063,1995,Arrest
2146,2262,Victim
7891,2637,Arrest
3912,3324,Other
277,3072,Other
827,892,Other
2142,1339,Witness
5368,290,Arrest
6977,3178,Arrest
732,266,Arrest
2956,2632,Arrest
7364,1711,Witness
7891,4366,Other
4223,3493,Witness
6072,685,Suspect
4544,3424,Victim
1107,3890,Arrest
5294,2958,Victim
2217,1955,Witness
2640,2513,Witness
2379,2434,Suspect
4015,2098,Witness
5106,1775,Arrest
4867,612,Other
4918,1481,Other
4145,3349,Suspect
1414,3462,Victim
6721,4753,Victim
2035,3903,Witness
1309,3559,Arrest
5007,516,Victim
7961,4346,Victim
2821,1176,Suspect
7557,3257,Other
108,162,Other
462,2717,Witness
151,1147,Witness
19,353,Other
1809,3254,Suspect
1900,3170,Witness
2685,1320,Suspect
7596,3689,Victim
6934,1016,Victim
1844,3736,Victim
3361,747,Arrest
5489,1825,Arrest
1829,3407,Witness
5530,2258,Other
453,3947,Victim
7527,1911,Witness
3243,454,Arrest
170,4586,Witness
1574,467,Other
5737,4922,Suspect
211,2187,Arrest
565,605,Victim
5967,2280,Victim
4106,4820,Arrest
1460,3591,Suspect
3679,4548,Arrest
2337,187,Suspect
7793,4701,Other
5496,1196,Arrest
2962,3667,Suspect
999,1234,Other
333,15,Arrest
1206,1759,Witness
7529,856,Arrest
1789,3978,Witness
3090,2582,Other
3935,3811,Suspect
4415,4293,Witness
5547,4740,Witness
1209,1459,Suspect
1775,2092,Arrest
3971,992,Witness
3891,2932,Arrest
3606,2473,Suspect
154,3358,Victim
5998,1381,Victim
2741,2111,Suspect
3114,2318,Arrest
6337,4135,Witness
7491,35,Witness
2550,658,Other
2089,3352,Other
4264,2037,Victim
7483,978,Arrest
1729,3484,Suspect
6093,3355,Arrest
4454,219,Suspect
6256,1934,Arrest
3088,3890,Suspect
4559,4894,Other
1629,2574,Witness
4307,4518,Other
2495,2733,Witness
3859,2636,Victim
1725,3024,Arrest
6518,1265,Arrest
4926,4293,Suspect
6646,2838,Victim
5181,2694,Witness
7401,3577,Suspect
5741,1285,Witness
2126,781,Suspect
3941,4635,Arrest
3594,2825,Witness
4825,157,Other
7133,566,Suspect
5471,1690,Victim
779,4863,Other
5469,1744,Suspect
2542,3370,Witness
1033,3079,Other
682,2599,Other
1690,4559,Suspect
4930,3710,Witness
2114,1643,Victim
3742,2856,Victim
5805,3171,Victim
3003,1383,Witness
4683,1728,Victim
6204,3493,Witness
411,1707,Victim
6860,1127,Other
3960,3855,Witness
7112,4594,Other
5147,2936,Suspect
680,4717,Victim
4430,4053,Other
7910,4378,Other
2444,4189,Victim
7649,4910,Other
1527,2860,Witness
4998,3108,Arrest
1189,1992,Arrest
1322,4194,Other
980,1809,Victim
2745,1778,Suspect
6486,3844,Other
5062,1497,Arrest
7077,1219,Arrest
5024,3220,Victim
5699,4817,Arrest
286,1822,Suspect
6755,2899,Victim
7429,2160,Arrest
49,1157,Victim
6564,2498,Arrest
2819,2105,Arrest
735,2687,Victim
5587,3698,Other
985,1166,Other
7822,2150,Witness
6370,4338,Arrest
1342,282,Suspect
3894,604,Witness
1143,848,Suspect
1841,2177,Arrest
5272,2319,Victim
4094,4804,Witness
5854,3080,Victim
7239,1769,Arrest
7314,4419,Other
6310,2217,Arrest
464,821,Other
6999,2559,Witness
7512,3780,Suspect
7709,4567,Suspect
5920,3173,Arrest
3524,1517,Victim
1648,4088,Witness
5967,177,Arrest
4313,2050,Suspect
3614,4803,Witness
230,2526,Witness
886,2522,Witness
4621,3611,Other
4760,3190,Arrest
7790,2464,Suspect
1902,3588,Witness
829,1504,Arrest
3954,106,Victim
6078,2538,Victim
5130,3523,Other
4035,2524,Suspect
3980,1241,Other
5540,2076,Arrest
33,1455,Other
3207,4281,Suspect
4983,4500,Suspect
780,3523,Witness
4708,1272,Arrest
2652,339,Other
4081,2841,Victim
7192,715,Suspect
1884,1744,Victim
4023,2273,Victim
2771,2911,Other
3023,3796,Arrest
7061,3165,Suspect
589,3093,Victim
1471,906,Arrest
645,1310,Witness
3331,2688,Witness
732,4260,Suspect
3184,4681,Witness
6364,1147,Victim
7207,4422,Arrest
2719,2478,Witness
6810,1365,Other
561,3404,Arrest
4865,2375,Other
7859,4260,Witness
1552,3561,Other
4580,209,Suspect
1028,319,Witness
6007,3553,Victim
6791,1735,Suspect
7635,4218,Suspect
3959,4449,Arrest
2026,2429,Witness
7990,4241,Victim
5398,773,Witness
715,3010,Victim
3298,3675,Arrest
4250,4727,Other
4419,1303,Other
2942,2215,Witness
4734,4677,Other
7134,3943,Other
2624,126,Other
220,777,Victim
3107,2511,Other
1533,1488,Other
5199,2428,Arrest
7841,2756,Suspect
6652,1478,Other
1156,2252,Arrest
4346,2363,Witness
2753,3826,Victim
2576,4900,Witness
682,3316,Arrest
1925,2425,Other
5066,2161,Other
3043,2099,Victim
6203,1540,Witness
1661,1002,Victim
231,524,Victim
7330,3714,Arrest
5499,1298,Arrest
3107,2078,Victim
4590,301,Other
3892,1343,Arrest
6742,3724,Other
5978,4187,Victim
6985,3484,Suspect
7448,719,Other
6732,2492,Suspect
1735,1594,Witness
1712,2469,Witness
6134,397,Witness
1651,609,Witness
3386,3298,Other
4288,831,Witness
3808,3025,Suspect
7884,2613,Suspect
3556,2250,Victim
6336,3302,Other
7963,4315,Arrest
6017,3613,Other
2046,2011,Suspect
2218,720,Arrest
6758,3650,Suspect
119,3724,Victim
76,529,Victim
5807,4799,Other
5907,4493,Other
1404,2039,Witness
7434,3622,Arrest
7292,3107,Victim
7087,116,Arrest
1320,3544,Arrest
2855,2384,Victim
1591,3139,Other
4962,3487,Arrest
6979,4081,Witness
7080,2408,Witness
7939,3133,Other
7543,2051,Suspect
5879,4289,Suspect
1744,2615,Suspect
4169,181,Victim
2917,948,Other
5825,1936,Victim
3579,4721,Suspect
2931,4396,Witness
6766,526,Victim
949,1542,Suspect
806,4858,Other
2602,1883,Suspect
779,4774,Victim
6173,4381,Witness
2355,1692,Arrest
1191,2025,Other
4093,1396,Suspect
675,4693,Witness
5081,1900,Victim
7787,997,Suspect
2868,4791,Other
1365,4601,Arrest
1035,3017,Arrest
5362,2714,Victim
4313,2046,Other
5998,2929,Witness
5682,2540,Suspect
6016,4738,Victim
3325,1450,Victim
3851,1530,Arrest
3310,4896,Arrest
5352,2447,Other
5476,3647,Victim
5724,1982,Witness
1592,4500,Victim
5047,3211,Suspect
6740,895,Suspect
2780,257,Other
1703,2132,Arrest
5925,4182,Other
2861,3837,Arrest
4769,3950,Witness
3274,1558,Witness
6734,4873,Suspect
6650,3660,Suspect
3413,155,Arrest
902,1055,Other
2126,1351,Arrest
3667,4530,Victim
6822,331,Suspect
4170,4677,Victim
960,1209,Suspect
7877,4043,Other
5100,1397,Other
6483,4046,Arrest
4033,3626,Victim
510,2815,Arrest
4566,663,Victim
4151,413,Suspect
7760,2781,Arrest
147,4304,Arrest
5773,940,Other
171,3696,Suspect
105,4925,Arrest
7193,2711,Other
1993,1258,Arrest
5674,2841,Witness
3647,542,Suspect
624,4077,Witness
3027,4344,Victim
5126,3802,Victim
6780,1608,Victim
6739,1010,Suspect
5175,724,Victim
1528,1836,Arrest
4047,2101,Witness
431,2813,Witness
4934,1406,Other
5083,2811,Arrest
7580,1604,Suspect
3930,688,Arrest
3718,3880,Victim
5758,3159,Arrest
6266,2507,Witness
1131,2317,Other
4149,3572,Witness
627,870,Victim
7365,3773,Victim
78,3681,Suspect
1226,4483,Arrest
1303,3004,Suspect
6590,4619,Other
4470,2018,Other
5179,3756,Witness
2146,3043,Victim
4448,1394,Victim
6624,1131,Victim
7720,196,Other
1480,994,Other
5553,1,Arrest
7543,1710,Other
2683,3009,Witness
7654,3523,Witness
5931,3239,Arrest
6526,4563,Arrest
1472,4919,Witness
1609,4050,Suspect
6024,4483,Suspect
65,1756,Suspect
6884,400,Victim
1766,2872,Arrest
1384,3888,Other
2698,1070,Other
692,2196,Arrest
1995,2984,Other
4729,2026,Witness
3166,228,Suspect
7747,3521,Suspect
6530,2680,Arrest
1740,1934,Victim
659,2069,Witness
2160,1395,Suspect
1058,1116,Suspect
1563,4923,Arrest
5176,311,Other
1476,4871,Victim
2234,3328,Other
5136,2840,Other
1825,2646,Victim
4098,4087,Other
7009,2773,Suspect
4409,4281,Witness
5535,4803,Victim
2176,622,Suspect
4790,2819,Suspect
6420,2813,Other
2643,3440,Victim
2632,4451,Victim
5832,2162,Suspect
6037,4397,Witness
412,250,Victim
814,1180,Witness
6723,2721,Other
5208,4757,Arrest
2903,1618,Witness
899,1162,Witness
5669,827,Victim
582,2503,Arrest
2905,3308,Other
4253,4919,Suspect
7259,788,Witness
6126,3982,Witness
615,3075,Other
3731,545,Other
6274,3980,Victim
4123,2945,Witness
6309,2728,Arrest
6263,1993,Suspect
2504,2085,Suspect
6184,1888,Other
6984,4059,Arrest
5490,3806,Other
5876,2334,Victim
2639,4367,Witness
7673,1239,Other
3190,1561,Victim
722,1308,Victim
5149,2732,Victim
7108,918,Witness
1394,4217,Other
5264,630,Suspect
608,89,Arrest
1720,2452,Other
4870,4050,Other
4606,4679,Victim
5615,2779,Other
3460,3532,Witness
7925,540,Victim
6843,1549,Arrest
6296,3750,Arrest
4872,2228,Victim
3044,2902,Other
6987,3599,Suspect
6818,2233,Other
1507,215,Other
2973,2885,Other
917,2634,Other
1504,2418,Victim
1740,3493,Victim
2327,726,Victim
7802,1772,Victim
5262,4637,Suspect
3321,4332,Suspect
6785,2358,Witness
2075,1109,Arrest
1592,762,Other
2537,4405,Arrest
208,4585,Witness
4711,2251,Arrest
1990,4913,Other
5065,3326,Witness
4623,4822,Victim
4099,4599,Arrest
5855,1172,Suspect
3011,1281,Arrest
6224,825,Other
2805,2824,Arrest
4617,304,Victim
2325,3410,Arrest
4425,2911,Arrest
5266,3436,Witness
2795,4986,Suspect
1532,2502,Other
5925,3612,Arrest
2178,190,Other
7103,3572,Suspect
5948,3020,Other
3680,1679,Suspect
6977,1689,Victim
4673,2030,Suspect
5184,1054,Victim
830,3540,Victim
2984,1098,Other
6226,1788,Suspect
774,4020,Witness
1864,2236,Witness
1824,1095,Witness
1719,1402,Arrest
54,2702,Other
7543,2336,Other
4701,4549,Suspect
5761,116,Other
1977,1955,Suspect
6218,1672,Suspect
2410,4165,Suspect
6382,4499,Arrest
6335,4260,Arrest
3803,67,Suspect
4215,4335,Victim
1134,3518,Witness
6752,3342,Suspect
2622,4652,Victim
7361,4723,Witness
2232,4733,Arrest
1831,2203,Arrest
7839,4266,Other
5983,3269,Other
3744,1586,Other
142,2215,Arrest
3161,1023,Victim
6995,3435,Victim
6195,1508,Witness
4276,4782,Witness
3591,841,Witness
7636,3697,Arrest
4034,1246,Arrest
5333,1275,Other
4670,4329,Suspect
6035,1211,Suspect
7534,4817,Arrest
290,4079,Arrest
4037,4958,Arrest
4268,470,Other
3755,3580,Other
2627,3858,Witness
5940,1369,Arrest
87,4947,Witness
6077,2292,Other
1022,1407,Witness
3901,295,Suspect
1863,1821,Witness
3326,287,Victim
5154,921,Victim
3320,2516,Other
4588,1261,Suspect
814,3706,Arrest
7012,2314,Victim
2013,1395,Other
4853,1860,Other
7101,4602,Suspect
1205,4387,Other
868,1763,Suspect
5652,176,Arrest
4190,1304,Witness
4866,3724,Victim
2094,1820,Witness
5,3673,Suspect
3030,3288,Suspect
4574,978,Suspect
96,2463,Suspect
738,1661,Other
280,2989,Suspect
474,2119,Victim
6360,1630,Victim
2803,2235,Suspect
4438,3853,Other
2013,3585,Victim
4076,4793,Witness
3937,1095,Witness
3699,3274,Suspect
3183,2422,Arrest
6359,558,Arrest
3710,1040,Witness
5210,3808,Witness
6626,3481,Arrest
7315,4823,Victim
7111,3663,Witness
1228,691,Other
4249,2213,Arrest
2950,4938,Witness
4472,244,Witness
6885,1368,Suspect
7793,1992,Arrest
7304,654,Other
1747,3468,Victim
1340,2324,Witness
3735,976,Suspect
558,2063,Suspect
31,714,Arrest
6835,2267,Victim
3502,4244,Witness
1608,2382,Victim
2715,4400,Arrest
7687,676,Victim
2666,1165,Victim
6112,1097,Suspect
472,2695,Suspect
5575,4784,Arrest
1787,215,Other
3557,4426,Witness
7884,982,Arrest
669,4153,Victim
5792,4111,Arrest
1675,1987,Suspect
4439,1959,Arrest
830,1074,Arrest
498,4680,Arrest
5615,2077,Victim
1714,4939,Arrest
551,1824,Arrest
5031,2087,Witness
4432,2649,Arrest
7303,1049,Other
4970,1973,Arrest
7092,1338,Arrest
380,60,Victim
2172,710,Other
1552,3189,Witness
7461,1472,Suspect
747,889,Arrest
7365,3101,Suspect
269,2859,Suspect
32,1817,Victim
3551,3698,Other
1856,507,Arrest
4469,4429,Victim
2893,2537,Suspect
2661,618,Arrest
3003,1075,Suspect
4707,415,Witness
4989,300,Other
3033,2580,Other
7677,2246,Other
6723,4285,Suspect
4547,192,Victim
1943,3983,Other
7555,4122,Victim
3343,3679,Witness
2726,3649,Other
5179,3761,Victim
5928,2153,Arrest
6177,1891,Suspect
1752,3380,Other
1981,1914,Other
6618,3086,Other
3384,4715,Arrest
5372,2753,Witness
862,1830,Victim
1879,4835,Victim
1096,3805,Arrest
7166,3551,Arrest
2638,4787,Arrest
503,2895,Suspect
386,4200,Other
6225,702,Victim
5661,1695,Witness
2036,273,Witness
4662,4183,Suspect
4384,3179,Suspect
2211,1201,Suspect
3599,4796,Suspect
4681,1590,Arrest
864,643,Witness
6018,4653,Witness
3479,774,Arrest
1615,565,Arrest
7348,4803,Arrest
2492,4047,Arrest
3410,2283,Suspect
2000,1716,Witness
6322,542,Witness
1976,563,Other
2498,3901,Victim
1732,1481,Witness
2400,1152,Witness
2501,2714,Suspect
6675,4797,Victim
7073,1312,Witness
1902,3316,Other
7941,2806,Victim
2565,3879,Suspect
1226,1992,Arrest
1015,4139,Witness
3483,1488,Victim
5296,149,Arrest
5421,2109,Other
7469,2729,Other
4096,3460,Witness
3066,1265,Witness
2877,2408,Victim
7755,27,Witness
7619,4577,Victim
876,3278,Victim
3000,4453,Suspect
7597,4291,Suspect
632,1411,Arrest
6618,3301,Other
2646,1716,Victim
5539,1152,Witness
4082,4901,Other
3668,235,Other
5227,1785,Other
4275,4597,Other
5151,1804,Other
2030,2146,Witness
6693,1945,Witness
3910,752,Witness
3858,2152,Witness
4333,4488,Victim
4491,4059,Other
3623,2078,Suspect
2353,1665,Arrest
4813,452,Suspect
4783,4472,Suspect
4132,755,Suspect
1789,4573,Arrest
2583,3916,Witness
1363,4274,Arrest
3943,2582,Arrest
6968,3986,Witness
301,2817,Witness
4712,413,Other
1480,3629,Suspect
4489,2790,Witness
4444,3206,Arrest
4947,3101,Arrest
6321,3893,Witness
1882,3813,Witness
6500,2758,Other
2530,3959,Other
2034,2564,Arrest
1702,1081,Suspect
7144,2046,Suspect
6357,4283,Other
909,3459,Suspect
2054,4803,Other
1149,703,Victim
5039,923,Arrest
2404,3063,Witness
6293,551,Other
7102,1739,Other
1056,1527,Witness
1447,4817,Victim
3179,347,Witness
3596,2603,Witness
4592,375,Other
1616,3982,Victim
7259,149,Suspect
5241,1077,Other
4390,2490,Suspect
7411,3649,Arrest
3224,4556,Suspect
7525,4060,Witness
3195,1839,Witness
2751,967,Victim
6698,4302,Victim
1128,4496,Arrest
5365,4178,Victim
4316,382,Arrest
4046,2826,Suspect
7605,1137,Suspect
7856,4630,Witness
7464,3713,Victim
13,1215,Other
4766,1070,Victim
565,2355,Suspect
1484,4104,Victim
5819,3926,Other
6231,4351,Victim
5475,2146,Other
6931,1119,Arrest
6210,2158,Other
1468,3106,Other
2264,4416,Suspect
