id,CAD_Number,Call Type,Date,Address,City,State,Latitude,Longitude,Zone,Responding Officer
77,77,Traffic,2/18/2024 9:17,55 Homewood Plaza,Las Vegas,Nevada,35.9279,-114.9721,Z5,Thompson
78,78,Traffic,4/1/2024 22:15,1970 Dorton Street,Las Vegas,Nevada,36.2158,-115.0671,Z5,Morris
79,79,Violent Crime,6/13/2024 16:33,966 Myrtle Trail,Reno,Nevada,39.5224,-119.8353,Z1,Hill
80,80,Violent Crime,2/28/2022 9:34,06494 Eagle Crest Place,Las Vegas,Nevada,36.3265,-115.3398,Z8,Edwards
81,81,Traffic,12/19/2024 12:30,9333 Karstens Place,Reno,Nevada,39.5387,-119.8225,Z6,Cook
82,82,Violent Crime,3/21/2022 3:49,1 Florence Court,Las Vegas,Nevada,35.9977,-115.2861,Z3,Murphy
83,83,Traffic,9/18/2024 22:19,872 Forest Run Trail,Las Vegas,Nevada,36.173,-115.0669,Z8,Young
84,84,Violent Crime,10/26/2021 7:42,8473 Shopko Road,Las Vegas,Nevada,36.2471,-115.221,Z1,Rogers
85,85,Property Crime,1/27/2023 22:15,267 Delaware Parkway,Las Vegas,Nevada,36.3265,-115.3398,Z2,Sanders
86,86,Traffic,11/13/2021 1:05,018 Packers Crossing,Las Vegas,Nevada,35.9977,-115.2861,Z5,Smith
87,87,Violent Crime,10/5/2024 8:06,27 Manufacturers Pass,Henderson,Nevada,36.0384,-115.0857,Z3,Murphy
88,88,Property Crime,4/5/2020 6:44,20878 Brentwood Drive,Las Vegas,Nevada,35.9279,-114.9721,Z1,Campbell
89,89,Traffic,5/27/2023 22:31,7 Melrose Pass,Las Vegas,Nevada,35.9279,-114.9721,Z3,Parker
90,90,Welfare Check,3/14/2020 16:31,8 Mcbride Drive,Las Vegas,Nevada,36.086,-115.1471,Z8,Johnson
91,91,Traffic,1/12/2021 10:26,5484 Vera Way,Las Vegas,Nevada,36.1378,-115.3261,Z7,Kelly
92,92,Property Crime,10/14/2020 11:26,4985 Loeprich Plaza,North Las Vegas,Nevada,35.9279,-114.9721,Z7,Smith
93,93,Violent Crime,9/5/2023 21:05,400 Fulton Crossing,Las Vegas,Nevada,36.2158,-115.0671,Z4,Green
94,94,Welfare Check,1/11/2021 1:10,61900 Meadow Vale Street,Reno,Nevada,40.5412,-119.5869,Z4,Evans
95,95,Violent Crime,12/22/2023 2:26,642 Lakewood Center,Henderson,Nevada,36.0119,-115.0433,Z1,Cox
96,96,Traffic,7/6/2021 3:22,75 Farmco Center,Las Vegas,Nevada,35.9279,-114.9721,Z2,Bell
97,97,Traffic,8/8/2022 4:09,6361 4th Lane,Las Vegas,Nevada,36.2471,-115.221,Z1,Rivera
98,98,Traffic,3/16/2020 3:47,302 Mallard Plaza,Henderson,Nevada,36.0119,-115.0433,Z1,Bennett
99,99,Property Crime,9/21/2023 8:22,103 Bluejay Lane,Las Vegas,Nevada,36.086,-115.1471,Z6,Cooper
100,100,Traffic,11/25/2022 19:42,19 Becker Drive,Carson City,Nevada,39.2025,-119.7526,Z3,Garcia
101,101,Violent Crime,11/14/2022 16:51,13658 Kipling Parkway,Reno,Nevada,39.7699,-119.6027,Z8,Reed
102,102,Traffic,2/1/2020 2:09,68400 Hanover Alley,North Las Vegas,Nevada,36.2204,-115.1458,Z7,Turner
103,103,Welfare Check,6/25/2024 16:52,64 Maryland Junction,North Las Vegas,Nevada,36.2204,-115.1458,Z5,Williams
104,104,Property Crime,5/19/2020 18:57,5406 Portage Pass,Reno,Nevada,39.7699,-119.6027,Z8,Collins
105,105,Property Crime,3/20/2024 21:52,2 Bashford Way,Reno,Nevada,40.5412,-119.5869,Z4,Robinson
106,106,Property Crime,4/13/2021 17:51,78 Springview Hill,Las Vegas,Nevada,36.2471,-115.221,Z3,Carter
107,107,Traffic,3/5/2021 18:54,25 Milwaukee Drive,Las Vegas,Nevada,36.086,-115.1471,Z2,Miller
108,108,Traffic,1/11/2020 3:57,09611 Nelson Terrace,Reno,Nevada,40.5412,-119.5869,Z6,Thomas
109,109,Alarm,7/18/2022 23:59,90185 Kedzie Way,Las Vegas,Nevada,35.9279,-114.9721,Z2,Price
110,110,Welfare Check,8/23/2024 4:30,528 Butterfield Park,Las Vegas,Nevada,35.9279,-114.9721,Z3,Adams
111,111,Property Crime,9/28/2019 10:01,70268 Kenwood Avenue,Las Vegas,Nevada,36.0914,-115.0885,Z2,Garcia
112,112,Property Crime,9/8/2021 1:51,5 South Hill,Las Vegas,Nevada,36.086,-115.1471,Z1,Davis
113,113,Alarm,6/22/2020 10:06,9578 Miller Hill,Las Vegas,Nevada,36.3265,-115.3398,Z4,Martinez
114,114,Alarm,11/27/2022 21:01,33512 Waywood Junction,Las Vegas,Nevada,36.2235,-115.2655,Z6,Roberts
115,115,Welfare Check,3/5/2021 16:18,6512 Sutteridge Circle,Las Vegas,Nevada,35.9279,-114.9721,Z7,Johnson
116,116,Property Crime,9/21/2023 16:14,58 Debs Terrace,Henderson,Nevada,36.0384,-115.0857,Z3,Rodriguez
117,117,Violent Crime,8/8/2023 20:01,5 Union Court,North Las Vegas,Nevada,36.2204,-115.1458,Z7,Rodriguez
118,118,Traffic,1/7/2021 0:28,7 High Crossing Crossing,Carson City,Nevada,39.2025,-119.7526,Z4,Turner
119,119,Property Crime,12/29/2019 19:05,602 Bartelt Alley,North Las Vegas,Nevada,36.2204,-115.1458,Z6,Brown
120,120,Violent Crime,5/13/2023 11:31,5934 Claremont Terrace,Las Vegas,Nevada,36.1378,-115.3261,Z6,Young
121,121,Traffic,9/14/2020 5:09,3155 Killdeer Parkway,Las Vegas,Nevada,36.086,-115.1471,Z3,Kelly
122,122,Alarm,7/12/2021 22:39,4359 Texas Crossing,Las Vegas,Nevada,36.2471,-115.221,Z8,Lewis
123,123,Property Crime,5/2/2020 22:27,6 Fieldstone Park,Sparks,Nevada,39.6269,-119.7081,Z1,James
124,124,Welfare Check,8/8/2024 6:25,85768 Sundown Hill,Reno,Nevada,39.5224,-119.8353,Z5,Lopez
125,125,Traffic,3/5/2020 8:43,75596 Mosinee Parkway,Carson City,Nevada,39.1678,-119.7764,Z8,Richardson
126,126,Traffic,9/4/2023 0:59,5127 Graceland Plaza,Reno,Nevada,39.4814,-119.8591,Z4,Collins
127,127,Traffic,9/29/2024 18:24,560 Miller Lane,North Las Vegas,Nevada,36.2204,-115.1458,Z1,Taylor
128,128,Traffic,4/26/2024 4:15,903 Menomonie Circle,Reno,Nevada,39.4814,-119.8591,Z4,Brooks
129,129,Traffic,5/25/2023 22:53,37 Cordelia Court,Las Vegas,Nevada,36.1378,-115.3261,Z1,Carter
130,130,Traffic,1/2/2021 11:08,5410 Rutledge Drive,North Las Vegas,Nevada,36.2204,-115.1458,Z2,Mitchell
131,131,Violent Crime,2/14/2022 21:02,1 Arkansas Park,Las Vegas,Nevada,36.2158,-115.0671,Z7,Collins
132,132,Traffic,10/16/2020 22:14,1169 Arrowood Drive,Carson City,Nevada,39.1678,-119.7764,Z8,Sanchez
133,133,Alarm,2/1/2023 1:04,1377 Ronald Regan Plaza,Las Vegas,Nevada,36.2235,-115.2655,Z6,Gonzalez
134,134,Traffic,10/29/2024 5:45,3 Red Cloud Street,Reno,Nevada,40.5412,-119.5869,Z7,Hernandez
135,135,Alarm,6/3/2023 1:02,122 Brentwood Alley,Henderson,Nevada,36.0119,-115.0433,Z6,Lewis
136,136,Traffic,7/18/2020 1:48,4402 Sage Park,North Las Vegas,Nevada,36.2204,-115.1458,Z3,Parker
137,137,Traffic,2/22/2021 3:31,2 Harper Street,Las Vegas,Nevada,36.1378,-115.3261,Z6,Adams
138,138,Alarm,2/17/2020 19:14,05 Buena Vista Terrace,Las Vegas,Nevada,35.9279,-114.9721,Z8,Anderson
139,139,Traffic,10/20/2019 23:15,7695 Porter Lane,Henderson,Nevada,36.0119,-115.0433,Z7,Johnson
140,140,Traffic,8/22/2024 1:59,39 Morningstar Way,Las Vegas,Nevada,36.3265,-115.3398,Z3,Wood
141,141,Property Crime,11/4/2024 0:25,2274 Arrowood Street,Las Vegas,Nevada,36.1378,-115.3261,Z2,Green
142,142,Traffic,10/31/2022 7:18,574 Marquette Way,Henderson,Nevada,36.0384,-115.0857,Z2,Adams
143,143,Traffic,7/25/2021 12:18,6 Hanover Junction,Reno,Nevada,39.4814,-119.8591,Z1,Hernandez
144,144,Traffic,12/12/2019 8:48,31 Hanover Trail,Henderson,Nevada,36.0384,-115.0857,Z3,Lewis
145,145,Violent Crime,9/19/2019 5:12,15 Miller Way,Las Vegas,Nevada,35.9279,-114.9721,Z4,Nelson
146,146,Alarm,1/11/2021 13:25,454 Harbort Plaza,Las Vegas,Nevada,36.173,-115.0669,Z7,Mitchell
147,147,Alarm,11/1/2021 18:34,1391 Anniversary Hill,Las Vegas,Nevada,35.9279,-114.9721,Z6,Jones
148,148,Violent Crime,2/21/2024 18:26,6894 Little Fleur Center,Las Vegas,Nevada,36.2235,-115.2655,Z2,Morris
149,149,Traffic,1/29/2020 19:16,26876 Buell Street,Las Vegas,Nevada,36.0914,-115.0885,Z8,Torres
150,150,Welfare Check,12/5/2020 14:16,69012 Susan Place,Las Vegas,Nevada,36.0914,-115.0885,Z1,Williams
151,151,Traffic,7/31/2020 17:08,21148 Northport Road,Las Vegas,Nevada,36.3265,-115.3398,Z7,Adams
152,152,Property Crime,3/23/2021 8:20,72 Redwing Court,Carson City,Nevada,39.1678,-119.7764,Z4,Green
153,153,Alarm,5/10/2023 20:29,6678 Heath Crossing,Las Vegas,Nevada,36.3265,-115.3398,Z8,Brown
154,154,Alarm,1/1/2020 20:54,248 Schmedeman Parkway,Las Vegas,Nevada,36.0914,-115.0885,Z5,Phillips
155,155,Traffic,12/28/2021 5:21,5 Logan Place,Las Vegas,Nevada,36.173,-115.0669,Z2,Phillips
156,156,Alarm,11/6/2022 11:38,87 Spaight Parkway,Las Vegas,Nevada,35.9279,-114.9721,Z1,Thomas
157,157,Property Crime,8/22/2024 4:55,38 High Crossing Alley,North Las Vegas,Nevada,35.9279,-114.9721,Z5,Ramirez
158,158,Welfare Check,1/24/2023 2:36,22329 Starling Circle,Carson City,Nevada,39.1678,-119.7764,Z6,Martin
159,159,Traffic,1/24/2020 10:33,061 Rowland Lane,Las Vegas,Nevada,35.9279,-114.9721,Z5,Taylor
160,160,Traffic,1/20/2022 18:59,136 Michigan Plaza,Reno,Nevada,39.5387,-119.8225,Z3,Jackson
161,161,Property Crime,2/12/2022 2:23,7751 Warrior Junction,North Las Vegas,Nevada,36.2204,-115.1458,Z3,Garcia
162,162,Welfare Check,3/2/2020 23:35,9991 Dixon Center,Las Vegas,Nevada,36.2471,-115.221,Z3,Watson
163,163,Traffic,2/18/2021 1:26,18501 Luster Center,Reno,Nevada,40.5412,-119.5869,Z6,Rodriguez
164,164,Traffic,8/14/2022 21:54,2 Anderson Drive,Henderson,Nevada,36.0384,-115.0857,Z7,Mitchell
165,165,Traffic,2/2/2024 21:32,8123 Trailsway Lane,Las Vegas,Nevada,35.9279,-114.9721,Z2,Scott
166,166,Traffic,2/20/2024 5:34,53 Ryan Center,Las Vegas,Nevada,36.0914,-115.0885,Z7,Wright
167,167,Traffic,2/28/2020 23:24,707 Dexter Avenue,Las Vegas,Nevada,35.9279,-114.9721,Z2,Nelson
168,168,Traffic,1/24/2022 11:30,89233 Village Alley,Reno,Nevada,40.5412,-119.5869,Z8,Green
169,169,Property Crime,2/3/2024 5:51,1 Pearson Pass,Las Vegas,Nevada,36.2158,-115.0671,Z3,James
170,170,Alarm,2/28/2021 2:55,393 Portage Alley,Las Vegas,Nevada,36.2471,-115.221,Z6,Mitchell
171,171,Traffic,12/14/2019 22:11,6824 Forest Dale Point,Las Vegas,Nevada,35.9279,-114.9721,Z5,Roberts
172,172,Welfare Check,5/4/2020 5:10,4298 Westridge Court,Las Vegas,Nevada,36.086,-115.1471,Z1,Wright
173,173,Property Crime,7/23/2021 5:42,1107 Sutherland Parkway,North Las Vegas,Nevada,35.9279,-114.9721,Z4,Clark
174,174,Violent Crime,9/6/2022 8:18,45911 Oneill Trail,Las Vegas,Nevada,35.9279,-114.9721,Z6,Sanders
175,175,Property Crime,6/29/2021 2:40,853 Starling Road,Las Vegas,Nevada,36.2471,-115.221,Z5,Campbell
176,176,Property Crime,1/28/2024 13:04,966 Scoville Center,Reno,Nevada,40.5412,-119.5869,Z8,Robinson
177,177,Property Crime,9/26/2020 16:14,51 Macpherson Trail,Las Vegas,Nevada,36.0914,-115.0885,Z6,Turner
178,178,Alarm,6/21/2024 23:53,76 Waubesa Drive,Reno,Nevada,39.4814,-119.8591,Z6,Howard
179,179,Traffic,4/28/2024 16:47,9370 Macpherson Court,Las Vegas,Nevada,36.086,-115.1471,Z3,Johnson
180,180,Traffic,5/9/2024 23:02,435 Pine View Street,Las Vegas,Nevada,36.3265,-115.3398,Z3,Wood
181,181,Alarm,2/19/2020 10:57,345 Forest Dale Court,Reno,Nevada,40.5412,-119.5869,Z5,Parker
182,182,Welfare Check,1/1/2020 21:08,0 Dunning Road,Reno,Nevada,40.5412,-119.5869,Z4,Roberts
183,183,Alarm,6/25/2021 14:07,9169 Cherokee Court,Las Vegas,Nevada,36.2471,-115.221,Z4,Morgan
184,184,Traffic,4/3/2023 7:57,510 Gateway Drive,Las Vegas,Nevada,36.1378,-115.3261,Z5,Collins
185,185,Property Crime,10/14/2024 20:01,27966 Scoville Plaza,North Las Vegas,Nevada,35.9279,-114.9721,Z8,Clark
186,186,Violent Crime,4/28/2024 4:24,9948 Bayside Way,Las Vegas,Nevada,35.9279,-114.9721,Z4,Johnson
187,187,Welfare Check,2/2/2024 15:31,14860 North Trail,Henderson,Nevada,36.0384,-115.0857,Z7,Stewart
188,188,Violent Crime,4/6/2024 17:54,8554 Pine View Road,Reno,Nevada,39.5387,-119.8225,Z8,Bennett
189,189,Traffic,8/6/2024 9:19,30037 Sage Park,Reno,Nevada,40.5412,-119.5869,Z8,Parker
190,190,Violent Crime,4/24/2022 22:18,12 Hollow Ridge Parkway,Las Vegas,Nevada,36.2235,-115.2655,Z3,Rivera
191,191,Property Crime,4/21/2024 18:49,13953 International Trail,Las Vegas,Nevada,36.2158,-115.0671,Z6,Phillips
192,192,Alarm,3/20/2023 6:07,82 David Pass,Las Vegas,Nevada,36.1378,-115.3261,Z8,Stewart
193,193,Traffic,7/5/2023 9:59,9 Rieder Terrace,Las Vegas,Nevada,36.0914,-115.0885,Z6,White
194,194,Traffic,6/30/2022 22:41,6805 Dayton Road,Las Vegas,Nevada,36.3265,-115.3398,Z7,Cook
195,195,Alarm,5/2/2020 17:50,653 Heffernan Trail,North Las Vegas,Nevada,36.2204,-115.1458,Z5,Cook
196,196,Traffic,6/18/2024 4:45,74080 Mendota Court,Las Vegas,Nevada,36.086,-115.1471,Z6,Brown
197,197,Violent Crime,12/1/2019 0:40,8 Monterey Plaza,Carson City,Nevada,39.1678,-119.7764,Z1,Cooper
198,198,Welfare Check,12/11/2023 11:40,5 Utah Pass,Las Vegas,Nevada,36.086,-115.1471,Z3,Thomas
199,199,Traffic,1/30/2024 1:14,74 Arapahoe Place,North Las Vegas,Nevada,35.9279,-114.9721,Z2,Hernandez
200,200,Violent Crime,6/20/2023 17:36,83572 Lighthouse Bay Parkway,North Las Vegas,Nevada,35.9279,-114.9721,Z2,Martinez
201,201,Welfare Check,8/16/2023 23:24,85494 Sunfield Center,Henderson,Nevada,36.0119,-115.0433,Z5,Hill
202,202,Traffic,1/2/2023 19:59,9 Maple Wood Circle,Las Vegas,Nevada,35.9279,-114.9721,Z2,Torres
203,203,Traffic,2/20/2024 6:33,62821 Ryan Hill,Reno,Nevada,39.5387,-119.8225,Z3,Wright
204,204,Alarm,7/17/2022 5:07,565 Northwestern Way,Carson City,Nevada,39.1678,-119.7764,Z8,Cooper
205,205,Violent Crime,7/23/2021 22:21,72 Bobwhite Circle,Las Vegas,Nevada,36.086,-115.1471,Z4,Gray
206,206,Traffic,11/4/2024 7:18,9 Emmet Lane,Carson City,Nevada,39.2025,-119.7526,Z6,Sanders
207,207,Welfare Check,12/13/2019 8:58,729 Alpine Circle,Henderson,Nevada,36.0119,-115.0433,Z8,White
208,208,Property Crime,8/21/2023 6:06,52 Forest Dale Parkway,North Las Vegas,Nevada,35.9279,-114.9721,Z3,Cox
209,209,Violent Crime,1/28/2024 9:29,83759 Jenna Court,Las Vegas,Nevada,35.9279,-114.9721,Z8,Adams
210,210,Property Crime,8/15/2024 7:43,13 Mockingbird Avenue,Las Vegas,Nevada,36.2158,-115.0671,Z3,Gonzalez
211,211,Property Crime,6/18/2022 20:15,3 Scoville Center,Las Vegas,Nevada,36.3265,-115.3398,Z2,Walker
212,212,Traffic,11/13/2020 0:34,34752 Del Mar Terrace,Las Vegas,Nevada,36.086,-115.1471,Z1,Phillips
213,213,Alarm,1/18/2022 13:33,93070 Blue Bill Park Point,Henderson,Nevada,36.0119,-115.0433,Z6,Williams
214,214,Welfare Check,1/11/2021 22:44,02 Scoville Lane,Reno,Nevada,39.5224,-119.8353,Z3,Sanchez
215,215,Violent Crime,9/10/2022 15:09,074 Dottie Park,Las Vegas,Nevada,35.9279,-114.9721,Z8,Collins
216,216,Traffic,4/29/2022 7:17,41625 Del Sol Court,Reno,Nevada,40.5412,-119.5869,Z6,Richardson
217,217,Traffic,12/1/2024 13:03,260 Dakota Junction,Las Vegas,Nevada,35.9279,-114.9721,Z2,Lewis
218,218,Property Crime,4/8/2023 16:31,9 Onsgard Park,Las Vegas,Nevada,36.086,-115.1471,Z6,Thomas
219,219,Welfare Check,10/2/2022 11:02,4058 Golden Leaf Terrace,Las Vegas,Nevada,36.2235,-115.2655,Z8,Lewis
220,220,Alarm,9/29/2023 9:47,4 Chive Trail,Reno,Nevada,40.5412,-119.5869,Z6,Adams
221,221,Traffic,5/30/2021 18:13,4 Eliot Pass,Las Vegas,Nevada,36.3265,-115.3398,Z6,Martinez
222,222,Welfare Check,12/16/2023 2:11,09356 Forster Junction,Las Vegas,Nevada,36.1378,-115.3261,Z1,Nelson
223,223,Traffic,12/12/2024 12:11,5279 Carberry Alley,Las Vegas,Nevada,36.1378,-115.3261,Z6,Bell
224,224,Alarm,10/3/2022 16:16,5798 Buhler Hill,Las Vegas,Nevada,36.173,-115.0669,Z6,Ward
